Jays,CROWS
Wrens;,/ Troglodytidae
Treecreepers,/ Certhiidae
Warblers; Sylviid,/ Sylviidae
Creepers;,/ Certhiidae
Finches,/ Fringillidae
Crossbills,Crossbill
Laughingthrushes,/ Timaliidae
Shrikes,/ Laniidae
Thrushes;,/ Turdidae
Swallows;,/ Hirundinidae
Creepers,/ Certhiidae
Orioles; N W,Troupials
Buntings; O W,OLD WORLD BUNTINGS
Sparrows; N W,NEW WORLD SPARROWS
Sparrows; O W,OLD WORLD SPARROWS
Barbets; African,AFRICAN BARBETS
Barbets; American,AMERICAN BARBETS
Barbets; Asian,ASIAN BARBETS
"Bushshrikes, et al",BUSHSHRIKES AND ALLIES
"Cisticolas, et al",CISTICOLAS AND ALLIES
Cuckoos; Ground-,GROUND-CUCKOOS AND ALLIES
Cuckoos; N W,NEW WORLD CUCKOOS
Cuckoos; O W,OLD WORLD CUCKOOS
Flycatchers; Mon,MONARCH
Flycatchers; O W,OLD WORLD FLY
Flycatchers; Tyr,TYRANT FLY
Honeycreepers,HAWAIIAN HONEYCREEPERS
Mimids,Mockingbirds
Munias,MUNIA
Parrots; O W,OLD WORLD PARROTS
Parrots; N W & Afr,NEW WORLD AND AFRICAN PARROTS
Pittas;,PITTAS
"Robins, Australasia",AUSTRALASIAN ROBINS
Tanagers,TANAGERS AND ALLIES
Tits; Allies,"CHICKADEES, TITS"
Tits; Long-tail,LONG-TAILED TITS
Tits; Penduline,PENDULINE TITS
Treecreepers; Austr,AUSTRALASIAN TREECREEPERS
"Vireos, et al",VIREOS AND ALLIES
Vultures; N W,NEW WORLD VULTURES
Warblers; African,AFRICAN WARBLERS
Warblers; N W,NEW WORLD WARBLERS
Warblers; Bush,Bush warblers and Allies
Warblers; Leaf,Leaf Warblers
Warblers; Reed,Reed warblers and Allies
"Waxbills, et al",WAXBILLS
"Weavers, et al",WEAVERS AND ALLIES
"Whistlers, et al",WHISTLERS AND ALLIES
Sparrows,Buntings
Orioles; O W,Orioles
